,0,1
0,277,40
1,179,128
2,281,43
3,253,38
4,327,35
5,218,43
6,404,33
7,235,43
8,612,16
9,283,39
10,260,40
11,253,39
12,241,37
13,246,42
14,281,46
15,193,34
16,277,41
17,894,11
18,124,28
19,259,45
20,244,41
21,125,27
22,123,27
23,120,32
24,160,45
25,218,40
26,253,39
27,158,50
28,247,42
29,204,51
30,339,36
31,880,11
32,71,45
33,255,42
34,260,42
35,440,55
36,252,35
37,260,49
38,918,11
39,258,37
40,218,43
41,72,46
42,227,1
43,277,40
44,251,42
45,445,55
46,924,11
47,237,42
48,120,28
49,156,47
50,276,45
51,235,39
52,231,0
53,304,39
54,229,0
55,254,35
56,915,11
57,440,55
58,311,39
59,251,0
60,221,46
61,561,18
62,254,33
63,72,46
64,284,1
65,225,1
66,267,1
67,261,37
68,47,17
69,245,43
70,167,126
71,250,35
72,245,45
73,209,34
74,281,1
75,278,41
76,123,27
77,269,1
78,343,34
79,128,29
80,273,47
81,71,47
82,274,37
83,284,1
84,292,45
85,276,42
86,262,45
87,281,41
88,455,52
89,211,47
90,179,122
91,279,39
92,287,42
93,226,44
94,193,31
95,545,17
96,157,46
97,250,34
98,256,41
99,250,35
100,255,36
101,248,41
102,47,17
103,207,50
104,232,47
105,252,39
106,184,120
107,262,1
108,250,35
109,204,37
110,224,30
111,247,43
112,265,43
113,230,45
114,239,38
115,75,48
116,151,198
117,160,46
118,227,36
119,257,41
120,235,40
121,174,124
122,183,127
123,195,32
124,69,42
125,256,40
126,250,44
127,471,52
128,47,17
129,217,48
130,240,41
131,271,38
132,245,41
133,232,42
134,299,1
135,203,34
136,255,40
137,237,1
138,440,55
139,266,40
140,250,42
141,375,39
142,209,32
143,241,48
144,275,38
145,293,45
146,247,46
147,233,29
148,905,11
149,441,57
150,277,40
151,454,41
152,125,28
153,267,40
154,248,40
155,226,44
156,270,38
157,257,42
158,233,41
159,265,43
160,72,45
161,218,41
162,407,42
163,48,17
164,178,125
165,331,35
166,408,42
167,279,40
168,47,16
169,259,39
170,272,1
171,156,47
172,249,44
173,240,42
174,217,47
175,207,31
176,307,34
177,262,40
178,284,47
179,220,31
180,259,35
181,47,17
182,264,38
183,247,40
184,151,49
185,359,38
186,70,46
187,335,36
188,152,192
189,292,46
190,433,43
191,234,30
192,250,35
193,214,0
194,226,34
195,340,35
196,117,27
197,284,40
198,304,43
199,257,40
200,268,39
201,263,40
202,225,0
203,233,31
204,203,41
205,124,28
206,418,56
207,252,42
208,880,11
209,254,40
210,252,40
211,590,17
212,148,45
213,254,0
214,278,43
215,220,0
216,207,48
217,247,39
218,396,42
219,249,40
220,338,38
221,231,43
222,73,47
223,149,195
224,122,29
225,239,0
226,150,195
227,150,197
228,404,45
229,270,41
230,129,25
231,154,47
232,255,40
233,180,124
234,440,55
235,237,0
236,215,46
237,151,46
238,125,27
239,49,17
240,242,41
241,425,47
242,124,28
243,238,39
244,263,41
245,255,39
246,236,37
247,250,35
248,237,32
249,886,12
250,231,40
251,47,17
252,264,40
253,284,1
254,591,16
255,253,42
256,262,45
257,203,38
258,173,130
259,272,1
260,251,0
261,265,40
262,440,55
263,299,36
264,259,38
265,217,39
266,240,43
267,417,39
268,251,40
269,427,41
270,240,28
271,399,58
272,227,35
273,266,40
274,233,31
275,214,43
276,335,36
277,123,28
278,226,27
279,252,39
280,253,38
281,247,41
282,149,196
283,269,41
284,234,37
285,248,40
286,239,43
287,250,35
288,72,48
289,883,11
290,195,33
291,235,47
