at_least_one	at_least_two	at_least_three
0.043	0.0152	0.0073
0.013	0.0	0.0
0.0878	0.0135	0.0
0.2295	0.1295	0.0727
0.3963	0.2785	0.227
0.0187	0.0035	0.0012
0.3839	0.2917	0.2202
0.3198	0.1396	0.0552
0.0062	0.0	0.0
0.0082	0.0	0.0
0.1622	0.0544	0.0133
0.2953	0.1969	0.1516
0.0176	0.0	0.0
0.2825	0.1981	0.1591
0.046	0.0224	0.0153
0.0235	0.001	0.0
0.2308	0.0879	0.022
0.0042	0.0	0.0
0.0086	0.0043	0.0
0.0867	0.0	0.0
0.0232	0.0	0.0
0.5087	0.3746	0.2928
0.0245	0.0	0.0
0.0164	0.0	0.0
0.0144	0.0	0.0
0.519	0.3956	0.3133
0.1646	0.1179	0.0929
0.1798	0.1405	0.1116
0.0171	0.0032	0.0
0.1311	0.0488	0.0061
0.014	0.0	0.0
0.038	0.0071	0.0027
0.0653	0.0028	0.0
0.034	0.0123	0.0062
0.2261	0.1272	0.0815
0.0828	0.0	0.0
0.1513	0.0882	0.063
0.0543	0.013	0.0
0.0013	0.0	0.0
0.0546	0.0287	0.0144
0.067	0.0	0.0
0.0432	0.0114	0.0023
0.003	0.0	0.0
0.0551	0.0226	0.0126
0.0137	0.0	0.0
0.0798	0.0518	0.0404
0.0	0.0	0.0
0.4238	0.2675	0.1838
0.3234	0.2293	0.156
0.5538	0.4615	0.4064
0.0235	0.0129	0.0083
0.04	0.005	0.0
0.024	0.0013	0.0
0.1064	0.0585	0.0399
0.0025	0.0	0.0
0.029	0.015	0.01
0.0008	0.0	0.0
0.095	0.0187	0.0008
0.0259	0.0165	0.0118
0.0014	0.0	0.0
0.2294	0.125	0.06
0.0	0.0	0.0
0.08	0.0189	0.0011
0.4069	0.2841	0.202
0.0392	0.0017	0.0
0.0185	0.0	0.0
0.0	0.0	0.0
0.0446	0.006	0.0
0.0268	0.0045	0.0015
0.0982	0.0335	0.0089
0.4944	0.4222	0.3847
0.1174	0.043	0.0248
0.1735	0.0583	0.017
0.3465	0.2456	0.1897
0.0	0.0	0.0
0.043	0.0055	0.0
0.1079	0.0039	0.0
0.0139	0.0008	0.0
0.0177	0.0068	0.0027
0.0519	0.0319	0.0213
0.0152	0.0	0.0
0.0692	0.0197	0.0016
0.0233	0.0021	0.0
0.0	0.0	0.0
0.0449	0.0021	0.0
0.1521	0.0979	0.0729
0.0148	0.0051	0.0011
0.0188	0.0062	0.0
0.0012	0.0	0.0
0.0824	0.0382	0.0162
0.0579	0.0	0.0
0.0801	0.0218	0.0024
0.0849	0.0236	0.0047
0.1158	0.0434	0.0118
0.0156	0.0	0.0
0.2267	0.143	0.1028
0.0931	0.05	0.0304
0.0242	0.0	0.0
0.0418	0.0194	0.0148
0.0347	0.0149	0.0041
0.0123	0.0	0.0
0.0851	0.0607	0.0482
0.0365	0.0149	0.006
0.4809	0.3559	0.2574
0.0596	0.0346	0.0257
0.1605	0.0742	0.0289
0.0609	0.0	0.0
0.0296	0.0054	0.0
0.2818	0.195	0.1455
0.0248	0.0098	0.0038
0.0301	0.0116	0.0046
0.0069	0.0	0.0
0.3886	0.288	0.2418
0.0425	0.0	0.0
0.027	0.0	0.0
0.468	0.37	0.32
0.0944	0.0756	0.0644
0.2088	0.0994	0.0412
0.0381	0.0071	0.0
0.1275	0.0785	0.059
0.006	0.0	0.0
0.4958	0.3986	0.3292
0.0664	0.0	0.0
0.0901	0.0606	0.0488
0.1062	0.0844	0.0688
0.1159	0.0712	0.0531
0.0393	0.0	0.0
0.0016	0.0	0.0
0.2708	0.1737	0.111
0.0434	0.0	0.0
0.0644	0.0	0.0
0.0	0.0	0.0
0.0353	0.0049	0.0005
0.1054	0.0151	0.0
0.0011	0.0	0.0
0.0463	0.0046	0.0
0.3007	0.1826	0.1236
0.0104	0.0	0.0
0.4602	0.3506	0.2873
0.0816	0.0295	0.0074
0.0321	0.0	0.0
0.3229	0.2161	0.1641
0.0339	0.0157	0.0083
0.0662	0.0063	0.0
0.0193	0.0	0.0
0.0687	0.0385	0.0165
0.0286	0.0	0.0
0.25	0.14	0.1
0.0022	0.0	0.0
0.0362	0.0052	0.001
0.0184	0.0026	0.0005
0.153	0.1069	0.0789
0.0007	0.0	0.0
0.0011	0.0	0.0
0.0083	0.0	0.0
0.0	0.0	0.0
0.0449	0.0	0.0
0.0307	0.0015	0.0
0.0741	0.0513	0.0355
0.2211	0.1405	0.1054
0.1235	0.0854	0.0576
0.2616	0.1792	0.1389
0.0115	0.0	0.0
0.1645	0.0953	0.0671
0.3965	0.1922	0.0558
0.1449	0.0698	0.0405
0.0055	0.0015	0.0
0.057	0.0	0.0
0.0268	0.0	0.0
0.0093	0.0	0.0
0.0293	0.0022	0.0
0.0779	0.0026	0.0
0.154	0.042	0.01
0.0633	0.0411	0.0269
0.0067	0.003	0.0007
0.2009	0.0841	0.0246
0.0302	0.0	0.0
0.0004	0.0	0.0
0.0047	0.0	0.0
0.0143	0.0	0.0
0.0109	0.0	0.0
0.3242	0.2233	0.1658
0.4013	0.239	0.1447
0.002	0.0	0.0
0.371	0.2863	0.2379
0.3507	0.2465	0.1736
0.0795	0.0	0.0
0.1687	0.0924	0.0602
0.076	0.0398	0.0317
0.0208	0.0	0.0
0.0049	0.0	0.0
0.0458	0.0	0.0
0.0347	0.0207	0.014
0.0008	0.0	0.0
0.0269	0.0	0.0
0.0052	0.0	0.0
0.4433	0.3241	0.2384
0.5034	0.3795	0.312
0.0803	0.0413	0.0161
0.396	0.312	0.251
0.0018	0.0	0.0
0.0498	0.0	0.0
0.0145	0.0	0.0
0.0165	0.0069	0.0014
0.2688	0.117	0.0472
0.0349	0.0096	0.0032
0.5303	0.4405	0.3859
0.0241	0.0	0.0
0.0132	0.0	0.0
0.2528	0.1705	0.1278
0.2639	0.1659	0.1118
0.0123	0.0	0.0
0.1058	0.0	0.0
0.0015	0.0	0.0
0.0675	0.015	0.0025
0.0211	0.0	0.0
0.0095	0.004	0.0032
0.3011	0.2273	0.1676
0.0128	0.0068	0.006
0.3332	0.2643	0.2248
0.0007	0.0	0.0
0.0028	0.0	0.0
0.0152	0.0	0.0
0.2323	0.0	0.0
0.375	0.2862	0.2105
0.0008	0.0	0.0
0.85	0.7622	0.6733
0.6235	0.5529	0.4588
